gridkey_on,gridkey_off,count
112102100031,112100323020,2
112100323122,112100321323,3
112100321233,112100323203,2
112100323102,112100323102,16568
112100321322,112100321322,2716
112100332010,112100330231,2
112100320300,112100321313,1
112100323131,112100303132,1
112102332122,112102332121,3
112100213203,112100213203,7
112100332013,112100323021,1
112100333000,112100321232,1
112100323020,112100323011,2
112100330321,112100330323,10
112100323003,112100330201,3
112100313303,112100313303,28
112100330210,112100323013,1
112100330231,112100330302,2
112102332123,112102332301,1
112100321331,112100330322,4
112102110122,112100323030,1
112102110123,112102110011,1
112100323033,112100322322,1
112100330330,112100330322,103
112100332020,112100323132,1
112100302221,112100323102,1
112100330201,112100321320,10
112100323230,112100323033,9
112100323310,112100323331,2
112102110121,112100332232,1
112100321021,112100321232,3
112100321210,112100321021,2
112100323212,112100323003,1
112100323002,112102110311,1
112100323301,112100323302,1
112100323213,112100323012,6
112100330321,112100330333,1
112100323102,112100322331,1
112100322023,112100322013,1
112100330322,112100330312,7
112102102213,112102033133,1
112100323012,112100323021,186
112102110310,112102110123,1
112100323031,112100322102,1
112100323010,112100323120,59
112100323231,112100323233,31
112100333023,112100333023,26
112100321222,112100321223,23
112102110203,112102110121,1
112100323101,112100323101,3348
112100323133,112100323013,1
112102110002,112100323331,3
112100322322,112100323013,2
112102121231,112102121231,4
112102100111,112102100110,7
112100321332,112100323131,5
112100330021,112100330021,3
112100323302,112100323102,2
112100323313,112100323211,6
112100323023,112100321231,1
112102221132,112102221301,1
112100323202,112100323032,9
112100332132,112101232002,1
112100323101,112100332010,1
112102033213,112102033302,1
112100323313,112100323300,1
112102110130,112102110130,17
112100312222,112100321313,2
112100323210,112100323212,6
112100323331,112100323102,4
112100333200,112100332311,1
112100323133,112100323232,1
112100323021,112100321233,1
112100320332,112100323011,1
112100323113,112100332132,1
112100320133,112100332033,1
112100323030,112100323003,561
112102113223,112100323002,1
112100321220,112100321322,1
112101222200,112103000003,1
112100332010,112100323101,2
112100321230,112100320312,2
112100323211,112100323221,2
112100320212,112100321221,1
112100321231,112101213000,1
112100330211,112100330210,2
112100323033,112102110123,1
112100323121,112100323210,5
112102013031,112102013031,3
112100323013,112100332202,1
112102110121,112103000002,1
112100330030,112100330031,2
112100323011,112100312333,1
112100323110,112100323020,1
112100323031,112100321322,36
112100323300,112102101011,1
112102101002,112100323023,1
112100323111,112100330323,1
112100323102,112100323220,1
112100331321,112100331231,3
112102122320,112102122233,1
112103122313,112103123202,1
112103031221,112103031201,1
112100323001,112100323113,1
112102110002,112102110002,5
112102011233,112102013001,1
112101222020,112101222020,8
112102110121,112100323132,1
112100320210,112100302033,1
112102110100,112102110121,1
112100323233,112100323112,2
